"Data center" "Non-Native" "Native" "Grey"
Cosmos8  69.72 27.74 2.54
Cosmos9  73.32 21.30 5.38
Cosmos11 58.90 35.66 5.44
Cosmos14 54.94 40.40 4.67
Cosmos15 43.70 51.43 4.87
Total 61.21 33.97 5



